Music & Video:[food, place, good, go, vegan, one, back, service, tapas, time, menu, restaurant, love, cafe, order, try, smoothie, can, chicken, shrimp, salad, way, bar, beet, cheese, something, sauce, lake, server, right, bartender, burger, taste, salsa, everything, meal, staff, juice, flavor, half, music, wrap, bit, thing, sangria, waitress, drink, night, day, table, bread, rice, meat, house, lot, feel, experience, plate, while, home, hour, price, veggie, eating, bacon, location, nothing, atmosphere, hummus, anything, pasta, dinner, health, waiter, side, ok, spot, favorite, check, husband, gaming, water, sampler, soup, taco, pizza, paella, outside, coconut, left]
Hair Removal:[nail, place, time, salon, gel, service, pedicure, back, go, job, love, tech, work, appointment, polish, one, experience, set, manicure, look, day, groupon, pedi, owner, customer, feel, try, girl, review, staff, color, jasmine, lady, while, desk, mani, week, quality, care, right, wait, acrylic, favorite, shop, money, bar, yelp, leave, front, lot, business, way, thought, call, everything, location, fill, hour, decor, everyone, top, design, coat, use, receptionist, fix, price, phone, charge, today, fake, something, technician, whole, half, massage, cut, offer, check, friend, card, person, detail, name, walk, kind, water, someone, manager, shape]
Jewelry:[place, shopping, mall, end, center, city, one, aria, shop, store, go, strip, walk, look, window, architecture, inside, love, tram, art, bellagio, time, vuitton, cool, way, water, hotel, lot, prada, take, feel, citycenter, money, thing, back, fun, anything, casino, building, luxury, while, designer, something, right, need, everything, design, kind, restaurant, being, service, vdara, fashion, ice, etc, experience, space, stop, valet, floor, day, work, visit, area, upscale, favorite, outside, top, miu, nothing, air, wolfgang, stuff, fancy, lv, puck, world, fendi, tiffany, whole, show, enough, foot, staff, layout, forum, display, review, ultra, guess]
Bubble Tea:[tea, boba, place, good, food, milk, chicken, service, time, drink, back, try, one, order, go, ice, love, can, menu, mochiko, rice, taste, coffee, flavor, pork, raindrop, snow, make, well, taiyaki, staff, fried, favorite, right, taro, sauce, beef, honey, soup, slush, lychee, think, cream, thai, customer, down, way, something, cotton, spot, toast, bit, lunch, brew, lot, bowl, cafe, strawberry, say, take, korean, side, mango, smoothie, dessert, while, thing, everything, latte, price, hawaiian, restaurant, sweetness, lemonade, dumpling, town, wait, egg, fluff, hen, csn, fruit, matcha, day, spicy, quality, overall, friend, latti, work]
Turkish:[food, place, meat, beef, sauce, gyro, lamb, chicken, sandwich, back, service, strip, rice, bowl, try, price, combo, right, time, line, shawarma, doner, pita, bite, bread, flavor, quality, taste, customer, order, lettuce, meal, bit, plate, guy, portion, visit, hotel, cream, side, ice, town, cabbage, outside, staff, everything, tender, thing, way, love, lot, husband, point, front, stop, n, spot, wait, share, stand, tzatziki, juicy, day, eating, wrap, lunch, restaurant, falafel, night, call, kebab, hummus, anyone, onion, combination, def, size, area, owner, craving, menu, employee, plenty, walk, shop, cold, seating, location, review, phone]
Nightlife:[food, you, good, place, service, out, time, one, back, bar, go, up, restaurant, vegas, menu, chicken, order, can, well, night, try, server, love, table, staff, experience, dinner, cheese, drink, sauce, salad, beer, meal, steak, hour, burger, make, right, everything, wait, way, pizza, tacos, going, down, hookah, say, while, side, atmosphere, waitress, bad, think, lunch, take, strip, being, bit, day, wine, favorite, check, shrimp, bartender, waiter, flavor, area, something, price, bread, sushi, dish, worth, fun, location, lobster, fried, top, thing, taste, rice, manager, fish, music, special, spot, ok, lot, crab, enough]
Jazz & Blues:[food, place, salsa, service, bar, restaurant, back, one, chicken, go, menu, hour, order, guacamole, burrito, rice, carne, asada, time, taco, shrimp, cheese, flavor, can, bartender, server, plate, night, sauce, dip, area, lunch, try, name, love, meal, dinner, soup, groupon, bean, right, taste, everything, ok, cantina, meat, beef, waitress, staff, enchilada, home, bit, wait, table, music, change, salad, booth, location, tortilla, beer, cream, drink, side, avocado, spicy, street, day, tea, left, tomato, carnitas, atmosphere, dining, something, thing, ice, cold, way, husband, steak, half, check, chile, room, family, nothing, spot, guac, price]
Dim Sum:[food, dim, sum, good, place, service, chinese, restaurant, vegas, soup, one, time, beef, shrimp, pork, go, noodle, rice, order, back, fried, menu, chicken, try, can, dish, well, sauce, everything, table, price, bad, taste, wait, love, duck, asian, bit, cart, night, flavor, dumpling, dinner, way, tea, staff, think, right, sushi, meal, experience, down, egg, favorite, make, ok, quality, lunch, strip, server, lot, hakkasan, bbq, while, samba, being, worth, inside, overall, something, take, spicy, nothing, mai, thing, meat, day, casino, palazzo, venetian, dimsum, style, eating, water, thought, enough, star, waiter, check, fish]
Hot Dogs:[dog, food, good, place, one, poppa, time, vegas, cheese, back, service, go, try, chili, can, order, elote, love, well, burger, menu, staff, bulgogi, drink, sauce, beef, custard, bacon, make, everything, way, hotdog, right, bbq, taste, kimchi, chicken, location, worth, say, while, down, something, bun, sandwich, day, think, flavor, corn, wait, strip, bar, thing, brisket, beer, meal, spicy, night, side, bit, hawaiian, customer, price, octane, nothing, fat, pork, restaurant, lunch, special, take, sausage, euro, meat, bite, spot, favorite, shot, house, container, dirt, experience, fried, inside, top, haus, style, luxor, town, eating]
Kebab:[food, place, salad, chicken, order, service, kabob, time, restaurant, one, wrap, lunch, try, go, plate, staff, grill, rice, pita, bread, side, falafel, spicy, price, burger, menu, customer, beef, everything, work, sauce, bar, wait, lot, vegan, option, while, veggie, meat, everyone, ok, worth, panini, way, lettuce, stop, eating, area, tender, today, meal, pick, right, lady, taste, something, fish, hummus, delivery, portion, cook, day, sandwich, size, check, home, family, top, avocado, friend, dining, manager, call, kebab, review, juicy, soda, business, wish, waffle, bite, bit, spice, yelp, establishment, opening, variety, grab, flavor, ranch]
Brazilian:[food, place, good, service, meat, salad, time, go, one, bar, back, can, restaurant, acai, steak, try, vegas, table, love, well, server, order, experience, chicken, dinner, meal, bowl, everything, staff, brazil, wait, menu, smoothie, cheese, worth, lobster, coxinha, lamb, side, breakfast, favorite, waiter, say, price, grille, gyro, filet, way, special, think, capital, right, bacon, bit, take, muffin, top, lunch, while, attentive, night, fogo, pizza, bread, dessert, down, beef, sirloin, donna, egg, steakhouse, quality, day, juice, birthday, fried, bad, wine, thing, something, being, drive, visit, buffet, nut, brasil, pastel, strip, reservation, customer]
